image,labels
frames/all/leaf_0_1381.jpg, 0
frames/all/leaf_2_6347.jpg, 2
frames/all/leaf_1_5016.jpg, 1
frames/all/leaf_2_5886.jpg, 2
frames/all/leaf_1_3263.jpg, 1
frames/all/leaf_2_6907.jpg, 2
frames/all/leaf_0_2509.jpg, 0
frames/all/leaf_1_4553.jpg, 1
frames/all/leaf_0_999.jpg, 0
frames/all/leaf_1_2900.jpg, 1
frames/all/leaf_0_2298.jpg, 0
frames/all/leaf_1_3586.jpg, 1
frames/all/leaf_0_293.jpg, 0
frames/all/leaf_0_901.jpg, 0
frames/all/leaf_1_4585.jpg, 1
frames/all/leaf_1_4526.jpg, 1
frames/all/leaf_2_5417.jpg, 2
frames/all/leaf_2_7367.jpg, 2
frames/all/leaf_1_3618.jpg, 1
frames/all/leaf_1_4193.jpg, 1
frames/all/leaf_2_7790.jpg, 2
frames/all/leaf_2_6072.jpg, 2
frames/all/leaf_1_3533.jpg, 1
frames/all/leaf_0_824.jpg, 0
frames/all/leaf_2_6902.jpg, 2
frames/all/leaf_0_2031.jpg, 0
frames/all/leaf_1_4286.jpg, 1
frames/all/leaf_0_981.jpg, 0
frames/all/leaf_1_3143.jpg, 1
frames/all/leaf_0_1338.jpg, 0
frames/all/leaf_2_6697.jpg, 2
frames/all/leaf_0_1729.jpg, 0
frames/all/leaf_2_7808.jpg, 2
frames/all/leaf_1_4582.jpg, 1
frames/all/leaf_1_3316.jpg, 1
frames/all/leaf_0_731.jpg, 0
frames/all/leaf_1_3607.jpg, 1
frames/all/leaf_1_3232.jpg, 1
frames/all/leaf_1_2801.jpg, 1
frames/all/leaf_0_722.jpg, 0
frames/all/leaf_2_6209.jpg, 2
frames/all/leaf_2_7323.jpg, 2
frames/all/leaf_1_5046.jpg, 1
frames/all/leaf_1_5036.jpg, 1
frames/all/leaf_2_8054.jpg, 2
frames/all/leaf_0_1682.jpg, 0
frames/all/leaf_2_6815.jpg, 2
frames/all/leaf_0_2689.jpg, 0
frames/all/leaf_1_3117.jpg, 1
frames/all/leaf_0_73.jpg, 0
frames/all/leaf_1_3913.jpg, 1
frames/all/leaf_0_814.jpg, 0
frames/all/leaf_2_6899.jpg, 2
frames/all/leaf_1_4515.jpg, 1
frames/all/leaf_0_1109.jpg, 0
frames/all/leaf_2_7337.jpg, 2
frames/all/leaf_2_8003.jpg, 2
frames/all/leaf_2_5793.jpg, 2
frames/all/leaf_1_3854.jpg, 1
frames/all/leaf_0_2679.jpg, 0
frames/all/leaf_2_7271.jpg, 2
frames/all/leaf_0_323.jpg, 0
frames/all/leaf_1_4652.jpg, 1
frames/all/leaf_1_3010.jpg, 1
frames/all/leaf_0_588.jpg, 0
frames/all/leaf_2_5945.jpg, 2
frames/all/leaf_1_3633.jpg, 1
frames/all/leaf_0_803.jpg, 0
frames/all/leaf_2_7065.jpg, 2
frames/all/leaf_2_7991.jpg, 2
frames/all/leaf_1_4062.jpg, 1
frames/all/leaf_2_7748.jpg, 2
frames/all/leaf_1_4095.jpg, 1
frames/all/leaf_2_7613.jpg, 2
frames/all/leaf_1_2733.jpg, 1
