image,labels
frames/train/leaf_2_6580.jpg, 2
frames/train/leaf_2_5436.jpg, 2
frames/train/leaf_1_3493.jpg, 1
frames/train/leaf_0_949.jpg, 0
frames/train/leaf_0_1574.jpg, 0
frames/train/leaf_1_2956.jpg, 1
frames/train/leaf_0_1290.jpg, 0
frames/train/leaf_0_1159.jpg, 0
frames/train/leaf_1_3786.jpg, 1
frames/train/leaf_2_5888.jpg, 2
frames/train/leaf_1_3752.jpg, 1
frames/train/leaf_1_3166.jpg, 1
frames/train/leaf_1_2611.jpg, 1
frames/train/leaf_1_3655.jpg, 1
frames/train/leaf_2_5324.jpg, 2
frames/train/leaf_2_5635.jpg, 2
frames/train/leaf_2_6030.jpg, 2
frames/train/leaf_2_5262.jpg, 2
frames/train/leaf_1_2788.jpg, 1
frames/train/leaf_2_5522.jpg, 2
frames/train/leaf_2_5437.jpg, 2
frames/train/leaf_2_6165.jpg, 2
frames/train/leaf_1_2632.jpg, 1
frames/train/leaf_0_179.jpg, 0
frames/train/leaf_0_1171.jpg, 0
frames/train/leaf_2_5789.jpg, 2
frames/train/leaf_1_3084.jpg, 1
frames/train/leaf_2_6117.jpg, 2
frames/train/leaf_0_210.jpg, 0
frames/train/leaf_0_1537.jpg, 0
frames/train/leaf_1_2906.jpg, 1
frames/train/leaf_1_3236.jpg, 1
frames/train/leaf_2_5296.jpg, 2
frames/train/leaf_0_301.jpg, 0
frames/train/leaf_0_417.jpg, 0
frames/train/leaf_2_5271.jpg, 2
frames/train/leaf_2_6681.jpg, 2
frames/train/leaf_0_406.jpg, 0
frames/train/leaf_1_3231.jpg, 1
frames/train/leaf_2_5385.jpg, 2
frames/train/leaf_2_6281.jpg, 2
frames/train/leaf_1_2904.jpg, 1
frames/train/leaf_0_166.jpg, 0
frames/train/leaf_0_649.jpg, 0
frames/train/leaf_1_3284.jpg, 1
frames/train/leaf_0_579.jpg, 0
frames/train/leaf_2_5479.jpg, 2
frames/train/leaf_1_4153.jpg, 1
frames/train/leaf_1_4119.jpg, 1
frames/train/leaf_1_3364.jpg, 1
frames/train/leaf_0_854.jpg, 0
frames/train/leaf_2_5288.jpg, 2
frames/train/leaf_1_4110.jpg, 1
frames/train/leaf_2_6027.jpg, 2
frames/train/leaf_2_6244.jpg, 2
frames/train/leaf_1_3797.jpg, 1
frames/train/leaf_1_3932.jpg, 1
frames/train/leaf_1_3134.jpg, 1
frames/train/leaf_2_6783.jpg, 2
frames/train/leaf_0_1510.jpg, 0
frames/train/leaf_0_1081.jpg, 0
frames/train/leaf_0_613.jpg, 0
frames/train/leaf_0_834.jpg, 0
frames/train/leaf_0_391.jpg, 0
frames/train/leaf_0_1236.jpg, 0
frames/train/leaf_0_925.jpg, 0
frames/train/leaf_1_3039.jpg, 1
frames/train/leaf_2_6233.jpg, 2
frames/train/leaf_0_1373.jpg, 0
frames/train/leaf_1_3281.jpg, 1
frames/train/leaf_0_1141.jpg, 0
frames/train/leaf_2_5668.jpg, 2
frames/train/leaf_0_1144.jpg, 0
frames/train/leaf_0_531.jpg, 0
frames/train/leaf_2_6652.jpg, 2
frames/train/leaf_2_6477.jpg, 2
frames/train/leaf_2_6109.jpg, 2
frames/train/leaf_1_3482.jpg, 1
